,adj_em,adj_o,luck,adj_tempo,sos_adj_em,sos_adj_o,sos_adj_d,nc_sos_adj_em,ncaa_seed,T2_adj_em,T2_adj_o,T2_luck,T2_adj_tempo,T2_sos_adj_em,T2_sos_adj_o,T2_sos_adj_d,T2_nc_sos_adj_em,T2_ncaa_seed,Team1Win
680,25.56,115.2,0.028999999999999998,60.5,8.48,108.2,99.8,-2.72,2.0,3.86,113.2,0.057,63.7,-4.31,100.7,105.0,2.68,15.0,1.0
681,3.86,113.2,0.057,63.7,-4.31,100.7,105.0,2.68,15.0,25.56,115.2,0.028999999999999998,60.5,8.48,108.2,99.8,-2.72,2.0,0.0
682,25.41,113.1,-0.057,65.3,9.34,108.4,99.0,0.79,3.0,3.89,108.7,0.085,70.7,-2.64,103.3,105.9,-3.36,14.0,1.0
683,3.89,108.7,0.085,70.7,-2.64,103.3,105.9,-3.36,14.0,25.41,113.1,-0.057,65.3,9.34,108.4,99.0,0.79,3.0,0.0
684,31.51,118.0,0.012,68.1,5.83,107.0,101.1,5.45,1.0,-2.31,101.3,0.045,68.6,-4.81,99.5,104.3,-5.9,16.0,1.0
685,-2.31,101.3,0.045,68.6,-4.81,99.5,104.3,-5.9,16.0,31.51,118.0,0.012,68.1,5.83,107.0,101.1,5.45,1.0,0.0
686,15.38,112.5,-0.003,65.8,7.78,106.7,98.9,-5.55,7.0,14.66,109.2,0.03,66.4,0.11,103.4,103.3,2.34,10.0,1.0
687,14.66,109.2,0.03,66.4,0.11,103.4,103.3,2.34,10.0,15.38,112.5,-0.003,65.8,7.78,106.7,98.9,-5.55,7.0,0.0
688,16.77,108.2,-0.043,66.6,6.22,108.1,101.8,-1.48,8.0,15.66,118.8,-0.035,65.8,10.56,108.9,98.4,0.11,9.0,1.0
689,15.66,118.8,-0.035,65.8,10.56,108.9,98.4,0.11,9.0,16.77,108.2,-0.043,66.6,6.22,108.1,101.8,-1.48,8.0,0.0
690,30.22,122.1,0.05,72.5,10.18,108.0,97.8,1.5,1.0,-1.32,99.3,0.013999999999999999,66.1,-5.35,101.6,106.9,-0.05,16.0,1.0
691,-1.32,99.3,0.013999999999999999,66.1,-5.35,101.6,106.9,-0.05,16.0,30.22,122.1,0.05,72.5,10.18,108.0,97.8,1.5,1.0,0.0
692,14.47,109.5,0.077,63.1,9.45,108.3,98.9,-0.55,6.0,14.32,115.1,-0.069,64.0,5.81,106.9,101.1,1.34,11.0,1.0
693,14.32,115.1,-0.069,64.0,5.81,106.9,101.1,1.34,11.0,14.47,109.5,0.077,63.1,9.45,108.3,98.9,-0.55,6.0,0.0
694,4.64,101.6,0.045,63.0,1.43,104.3,102.9,2.61,13.0,18.9,115.2,-0.001,67.1,7.67,107.7,100.0,-1.27,4.0,1.0
695,18.9,115.2,-0.001,67.1,7.67,107.7,100.0,-1.27,4.0,4.64,101.6,0.045,63.0,1.43,104.3,102.9,2.61,13.0,0.0
696,7.99,108.6,0.036000000000000004,67.6,-1.41,104.1,105.5,3.69,13.0,12.65,112.3,0.11,68.2,5.2,107.4,102.2,-1.7,4.0,1.0
697,12.65,112.3,0.11,68.2,5.2,107.4,102.2,-1.7,4.0,7.99,108.6,0.036000000000000004,67.6,-1.41,104.1,105.5,3.69,13.0,0.0
698,22.17,116.2,0.11,70.7,9.58,109.4,99.8,7.64,2.0,1.67,107.9,0.045,60.4,-4.23,99.9,104.1,-2.17,15.0,1.0
699,1.67,107.9,0.045,60.4,-4.23,99.9,104.1,-2.17,15.0,22.17,116.2,0.11,70.7,9.58,109.4,99.8,7.64,2.0,0.0
700,25.09,120.6,0.044000000000000004,63.9,10.37,108.4,98.0,0.04,2.0,-0.3,104.6,0.086,65.5,-6.35,102.5,108.8,5.19,15.0,1.0
701,-0.3,104.6,0.086,65.5,-6.35,102.5,108.8,5.19,15.0,25.09,120.6,0.044000000000000004,63.9,10.37,108.4,98.0,0.04,2.0,0.0
702,14.21,109.2,0.037000000000000005,68.1,9.14,108.9,99.8,-2.4,12.0,22.03,114.0,-0.044000000000000004,68.0,9.53,109.3,99.8,0.31,5.0,1.0
703,22.03,114.0,-0.044000000000000004,68.0,9.53,109.3,99.8,0.31,5.0,14.21,109.2,0.037000000000000005,68.1,9.14,108.9,99.8,-2.4,12.0,0.0
704,14.6,111.9,-0.021,68.2,-0.85,103.3,104.2,1.69,12.0,21.46,120.0,0.011000000000000001,62.9,4.89,105.5,100.6,0.11,5.0,1.0
705,21.46,120.0,0.011000000000000001,62.9,4.89,105.5,100.6,0.11,5.0,14.6,111.9,-0.021,68.2,-0.85,103.3,104.2,1.69,12.0,0.0
706,35.21,120.9,0.012,66.8,9.57,109.2,99.6,-1.41,1.0,13.71,110.2,0.081,63.9,3.1,104.3,101.2,-0.86,8.0,1.0
707,13.71,110.2,0.081,63.9,3.1,104.3,101.2,-0.86,8.0,35.21,120.9,0.012,66.8,9.57,109.2,99.6,-1.41,1.0,0.0
708,21.15,115.8,0.032,63.3,8.71,108.2,99.5,0.59,5.0,19.91,116.5,0.027000000000000003,63.9,9.52,107.8,98.3,-1.69,4.0,1.0
709,19.91,116.5,0.027000000000000003,63.9,9.52,107.8,98.3,-1.69,4.0,21.15,115.8,0.032,63.3,8.71,108.2,99.5,0.59,5.0,0.0
710,22.75,113.6,0.04,63.4,9.32,109.1,99.7,-6.32,3.0,22.16,115.3,-0.027000000000000003,66.6,8.62,107.9,99.3,-6.37,6.0,1.0
711,22.16,115.3,-0.027000000000000003,66.6,8.62,107.9,99.3,-6.37,6.0,22.75,113.6,0.04,63.4,9.32,109.1,99.7,-6.32,3.0,0.0
712,29.94,118.0,0.047,64.1,10.03,109.3,99.3,-1.63,1.0,19.93,112.3,0.004,61.8,8.28,107.4,99.1,-5.13,9.0,1.0
713,19.93,112.3,0.004,61.8,8.28,107.4,99.1,-5.13,9.0,29.94,118.0,0.047,64.1,10.03,109.3,99.3,-1.63,1.0,0.0
714,24.32,115.1,-0.004,58.3,8.99,109.0,100.0,-6.51,4.0,19.07,114.6,0.042,69.5,6.88,107.5,100.6,-7.02,5.0,1.0
715,19.07,114.6,0.042,69.5,6.88,107.5,100.6,-7.02,5.0,24.32,115.1,-0.004,58.3,8.99,109.0,100.0,-6.51,4.0,0.0
716,21.29,114.6,-0.019,63.8,9.0,108.5,99.5,-1.98,7.0,26.4,116.3,-0.006,71.5,10.06,109.1,99.0,3.36,2.0,1.0
