rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
1,Virginia,ACC,29-3,35.66,123.6,2,87.9,5,59.3,353,0.024,119,10.51,29,108.4,48,97.9,19,-2.82,248,1,2019,Virginia
2,Gonzaga,WCC,30-3,32.79,125.1,1,92.3,16,69.8,70,0.008,160,3.38,83,106.2,76,102.8,102,1.98,109,1,2019,Gonzaga
3,Duke,ACC,29-5,31.99,120.1,6,88.1,6,72.2,18,0.018,137,13.25,7,110.4,4,97.2,11,5.48,38,1,2019,Duke
4,Michigan St.,B10,28-6,31.36,121.7,4,90.4,8,67.4,182,-0.007,198,13.57,3,110.2,7,96.7,2,3.15,90,2,2019,Michigan St
5,Michigan,B10,28-6,29.44,115.5,18,86.1,2,64.4,320,-0.014,227,11.65,17,109.3,29,97.6,16,-4.94,305,2,2019,Michigan
6,North Carolina,ACC,27-6,29.17,119.9,7,90.7,10,74.3,5,0.024,117,13.68,2,110.8,2,97.1,8,5.77,33,1,2019,North Carolina
7,Kentucky,SEC,27-6,27.41,118.2,13,90.8,12,65.8,265,0.037,89,11.02,22,110,11,99,37,2.26,102,2,2019,Kentucky
8,Tennessee,SEC,29-5,26.98,122.5,3,95.5,34,67.7,155,0.038,87,10.58,27,109,32,98.5,23,1.36,124,2,2019,Tennessee
9,Texas Tech,B12,26-6,26.75,112.7,36,85.9,1,66.5,226,0.004,175,8.31,53,107.8,58,99.5,45,-5.02,307,3,2019,Texas Tech
10,Purdue,B10,23-9,26.05,121.1,5,95,32,65.6,276,-0.012,220,13.04,8,109.7,19,96.7,3,4.33,58,3,2019,Purdue
11,Virginia Tech,ACC,24-8,24.47,118.4,11,94,25,63.3,337,0.002,181,8.61,50,108.1,51,99.5,44,-6.04,326,4,2019,Virginia Tech
12,Wisconsin,B10,23-10,23.68,110.8,52,87.1,3,63.6,332,-0.026,247,13.57,4,110.3,6,96.8,5,3.56,82,5,2019,Wisconsin
13,Auburn,SEC,26-9,23.33,119.6,8,96.2,45,67.5,166,0.003,180,10.89,25,109.6,21,98.7,30,2.81,96,5,2019,Auburn
14,Florida St.,ACC,27-7,22.56,113,31,90.4,9,68.3,135,0.045,75,10.71,26,109.5,23,98.8,32,1.1,133,4,2019,Florida St
15,Houston,Amer,31-3,22.42,114.1,24,91.7,13,66.1,247,0.057,50,3.15,88,104.8,124,101.6,66,-3.81,276,3,2019,Houston
16,Iowa St.,B12,23-11,21.85,119,9,97.1,59,67.6,161,-0.051,295,10.36,31,108.8,38,98.5,22,-1.45,210,6,2019,Iowa St
17,Louisville,ACC,20-13,20.97,113.4,29,92.4,17,67.1,194,-0.054,301,13,10,110.6,3,97.6,15,6.05,28,7,2019,Louisville
18,LSU,SEC,26-6,20.97,118.5,10,97.5,62,69.9,66,0.035,93,9.49,40,108.6,41,99.1,38,3.09,93,3,2019,LSU
19,Wofford,SC,29-4,20.71,118.4,12,97.6,63,65.6,275,0.06,43,1.36,112,105.4,96,104,155,8.4,7,7,2019,Wofford
20,Kansas,B12,25-9,20.71,112.7,34,92,15,69.9,64,0.088,15,13.89,1,111.4,1,97.5,13,10.99,3,4,2019,Kansas
21,Mississippi St.,SEC,23-10,20.68,117.4,14,96.7,51,67.4,178,-0.027,248,10.46,30,110,12,99.6,46,2.49,99,5,2019,Mississippi St
22,Buffalo,MAC,31-3,20.34,114.9,19,94.6,29,73.8,9,0.041,77,2.8,93,105.2,112,102.4,91,1.58,117,6,2019,Buffalo
23,Kansas St.,B12,25-8,20.22,108,102,87.7,4,63,342,0.061,42,10.05,33,109,33,99,35,-0.5,183,4,2019,Kansas St
24,Maryland,B10,22-10,19.98,113.8,27,93.8,22,65.6,274,0.001,182,11.08,21,109.5,24,98.4,21,-4.62,298,6,2019,Maryland
25,Nevada,MWC,29-4,18.92,114,26,95.1,33,69.2,88,0.039,85,1.38,111,105.2,108,103.8,139,1.99,108,7,2019,Nevada
26,Villanova,BE,25-9,18.77,117,16,98.2,73,63.6,333,0.017,139,8.22,54,108.4,49,100.2,58,3.63,79,6,2019,Villanova
27,Marquette,BE,24-9,18.42,114.2,23,95.7,35,68.6,116,0.007,164,7.65,58,107.5,59,99.9,52,0.79,145,5,2019,Marquette
28,Florida,SEC,19-15,18.32,110.2,60,91.9,14,62.7,346,-0.072,326,11.64,18,110.4,5,98.7,31,5.39,40,10,2019,Florida
29,Clemson,ACC,19-13,17.94,108.7,90,90.7,11,66,258,-0.069,321,9.91,34,108.5,43,98.6,27,1.16,131,,2019,Clemson
30,Texas,B12,16-16,17.89,114.1,25,96.2,40,64.2,327,-0.117,350,12.57,14,110.1,10,97.6,14,5.5,37,,2019,Texas
31,Saint Mary's,WCC,22-11,17.71,114.6,21,96.9,55,62.6,347,-0.033,262,3.63,77,106.4,74,102.7,98,-0.39,180,11,2019,St Mary's CA
32,Cincinnati,Amer,28-6,17.05,111.6,46,94.5,28,63.2,338,0.06,44,4.2,73,106.3,75,102.1,85,-2.63,243,7,2019,Cincinnati
33,North Carolina St.,ACC,22-11,16.7,112.7,35,96,38,70.8,41,-0.009,204,7.15,59,106.9,66,99.8,50,-12.05,353,,2019,NC State
34,Utah St.,MWC,28-6,16.62,113,32,96.3,47,67.8,151,0.007,162,0.01,145,104.3,146,104.3,170,1.14,132,8,2019,Utah St
35,Syracuse,ACC,20-13,16.3,110.2,61,93.9,24,66.1,251,0.005,169,10.06,32,108.5,44,98.5,24,0.49,153,8,2019,Syracuse
36,Iowa,B10,22-11,15.96,117.2,15,101.2,115,69.4,82,0.057,51,10.57,28,108.4,46,97.8,18,-6.6,332,10,2019,Iowa
37,VCU,A10,25-7,15.69,104.3,172,88.6,7,68.2,136,0.004,174,1.15,117,105,115,103.8,142,3.5,85,8,2019,VCU
38,Oklahoma,B12,19-13,15.53,109.4,73,93.9,23,68.7,112,0.031,101,12.63,12,109.7,20,97,7,7.84,11,9,2019,Oklahoma
39,Nebraska,B10,18-16,15.53,112.6,38,97,57,66.3,238,-0.055,305,13.35,5,109.9,16,96.6,1,0.41,156,,2019,Nebraska
40,Penn St.,B10,14-18,15.42,109.5,72,94.1,26,67.5,168,-0.102,341,13.25,6,110.2,8,96.9,6,4.51,54,,2019,Penn St
41,Baylor,B12,19-13,15.29,113.5,28,98.2,75,65.3,291,-0.032,260,9.18,43,107.9,57,98.7,28,-4.2,289,9,2019,Baylor
42,Indiana,B10,17-15,15.28,110.1,62,94.8,30,66.4,231,-0.044,284,12.61,13,110,14,97.4,12,-0.87,194,,2019,Indiana
43,Oregon,P12,23-12,15.15,107.7,108,92.5,18,64.1,328,-0.039,272,4.1,74,106.9,65,102.8,101,0.26,160,12,2019,Oregon
44,Mississippi,SEC,20-12,15.08,112.8,33,97.7,65,68.3,129,-0.018,232,8.69,48,108.8,37,100.1,57,-0.78,187,8,2019,Mississippi
45,Ohio St.,B10,19-14,15.08,109.3,75,94.2,27,65.7,272,0.005,168,11.63,19,110.1,9,98.5,26,-2.69,245,11,2019,Ohio St
46,UCF,Amer,23-8,14.58,110.3,58,95.7,36,64.8,313,0.029,104,3.61,78,105.2,109,101.6,65,-3.42,267,9,2019,UCF
47,Minnesota,B10,21-13,14.46,110.7,54,96.2,44,67.5,176,0.082,24,12.07,16,109.8,17,97.7,17,-2.79,247,10,2019,Minnesota
48,TCU,B12,20-13,14.17,110.4,57,96.2,41,68.8,107,0.014,144,9.75,36,108.6,40,98.9,34,-0.84,191,,2019,TCU
49,New Mexico St.,WAC,30-4,13.59,112.6,37,99,83,65.6,278,0.061,40,-3.52,239,102.4,238,105.9,222,-2.94,254,12,2019,New Mexico St
50,Creighton,BE,18-14,13.5,113.3,30,99.8,97,68.4,125,-0.045,287,9.15,44,109.3,30,100.1,56,5.69,36,,2019,Creighton
51,Washington,P12,26-8,13.37,107,119,93.6,20,65.9,263,0.078,27,4.94,67,106.7,69,101.8,72,3.11,91,9,2019,Washington
52,Murray St.,OVC,27-4,13.33,112,41,98.7,81,69,98,0.033,97,-4.77,273,102.1,256,106.9,269,-1.01,197,12,2019,Murray St
53,Lipscomb,ASun,25-7,13.24,110,65,96.8,52,72.9,14,-0.041,278,-2.58,214,102.3,244,104.8,189,6.61,25,,2019,Lipscomb
54,Belmont,OVC,26-5,13.07,114.8,20,101.8,127,71.1,31,0.041,78,-3.23,230,102.7,227,105.9,221,3.44,87,11,2019,Belmont
55,Seton Hall,BE,20-13,12.91,109.3,74,96.4,49,68.9,102,0.022,126,9.42,41,109.3,28,99.9,53,4.43,57,10,2019,Seton Hall
56,Furman,SC,25-7,12.63,108.8,87,96.2,42,66.5,229,0.03,103,-0.75,162,105.3,101,106,228,-2.34,235,,2019,Furman
57,Arkansas,SEC,17-15,12.34,109.5,71,97.2,60,70.2,55,-0.041,280,8.42,52,108.1,52,99.7,47,0.54,151,,2019,Arkansas
58,Toledo,MAC,25-7,12,110,64,98,67,67.5,174,0.047,70,0.62,127,104.5,138,103.9,145,-3.92,284,,2019,Toledo
59,Alabama,SEC,18-15,11.48,108.1,100,96.6,50,68.6,115,0.039,84,10.94,23,109.9,15,99,36,3.84,73,,2019,Alabama
60,Dayton,A10,21-11,11.48,111.5,47,100.1,100,64.4,321,-0.036,266,1.12,118,104.1,158,102.9,106,1.57,118,,2019,Dayton
61,Arizona St.,P12,22-10,11.21,109.8,68,98.6,79,70.5,46,0.046,72,4.81,68,106.6,71,101.8,70,1.8,113,11,2019,Arizona St
62,Memphis,Amer,21-13,10.88,109,84,98.1,71,74.1,6,-0.031,257,3.5,80,105.2,104,101.7,69,0.14,166,,2019,Memphis
63,Liberty,ASun,28-6,10.82,110.6,56,99.7,96,61.8,349,0.006,167,-4.61,268,101.3,283,105.9,223,-2.83,249,12,2019,Liberty
64,Xavier,BE,18-15,10.43,110.8,51,100.4,106,64.8,311,0.008,159,8.15,55,108.8,39,100.6,59,1.28,128,,2019,Xavier
65,Colorado,P12,21-12,10.42,106.5,130,96.1,39,67.6,160,-0.037,270,2.02,97,105.6,87,103.6,131,-4.62,299,,2019,Colorado
66,San Francisco,WCC,21-10,9.96,111.7,43,101.7,126,66.4,235,-0.022,238,-0.23,152,104,159,104.2,168,-6.5,330,,2019,San Francisco
67,Providence,BE,18-15,9.95,105,156,95,31,67.7,157,-0.014,226,7.03,60,108.8,36,101.8,74,-2.46,240,,2019,Providence
68,Butler,BE,16-16,9.92,110.8,50,100.9,110,65.9,260,-0.032,259,8.51,51,108.6,42,100.1,55,3.88,71,,2019,Butler
69,East Tennessee St.,SC,24-9,9.83,109.1,79,99.3,86,66.9,205,0.022,124,-0.44,159,105.6,90,106,226,-1.93,227,,2019,ETSU
70,Missouri,SEC,15-17,9.76,106.7,122,97,56,64.6,317,-0.017,230,9.8,35,109.6,22,99.8,51,0.4,157,,2019,Missouri
71,Miami FL,ACC,14-18,9.69,109.9,66,100.2,104,66.9,208,-0.072,325,8.97,46,108.3,50,99.3,39,-3.06,257,,2019,Miami FL
72,Fresno St.,MWC,23-9,9.68,108.2,98,98.5,78,67.7,153,-0.011,216,-1.48,183,103.6,180,105.1,195,-4.81,304,,2019,Fresno St
73,South Carolina,SEC,16-16,9.67,107.9,104,98.3,76,70.1,60,0.022,125,10.93,24,109.4,26,98.5,25,2.67,97,,2019,South Carolina
74,Northwestern,B10,13-19,9.55,102.9,197,93.4,19,65.8,264,-0.111,347,9.71,37,108.4,47,98.7,29,-5.64,321,,2019,Northwestern
75,UC Irvine,BW,30-5,9.46,106.6,125,97.1,58,65.1,296,0.097,10,-3.94,250,102.2,245,106.2,232,1.82,112,13,2019,UC Irvine
76,Temple,Amer,23-9,9.39,108.9,86,99.5,90,68.8,109,0.065,36,3.81,75,105.6,88,101.8,73,-0.63,184,11,2019,Temple
77,Rutgers,B10,14-17,9.31,105.5,148,96.2,43,67.5,169,-0.02,233,11.12,20,109.4,25,98.3,20,-4.49,294,,2019,Rutgers
78,St. John's,BE,21-12,8.75,109.7,69,100.9,111,70.5,48,0.071,30,5.92,62,107,64,101.1,60,-6.09,327,11,2019,St John's
79,Northeastern,CAA,23-10,8.75,111.5,48,102.7,145,66,252,0.023,121,-0.8,163,106,80,106.8,263,6.95,21,13,2019,Northeastern
80,Vermont,AE,27-6,8.72,107.9,103,99.2,84,65.3,285,0.056,54,-6.01,289,100.2,317,106.2,234,3.52,84,13,2019,Vermont
81,UNC Greensboro,SC,28-6,8.59,106.5,129,97.9,66,67.4,180,0.175,1,0.17,139,105.6,89,105.4,204,-2.92,253,,2019,UNC Greensboro
82,Yale,Ivy,22-7,8.59,111.7,44,103.1,149,70.7,44,0.057,48,-1.52,186,102.3,243,103.8,140,-1.89,226,14,2019,Yale
83,Illinois,B10,12-21,8.51,109.1,80,100.6,108,70.4,51,-0.052,297,13.01,9,109.8,18,96.7,4,4,65,,2019,Illinois
84,Davidson,A10,24-9,8.28,107.5,109,99.3,85,64.5,319,0.065,37,0.75,125,104.4,143,103.6,132,2.31,101,,2019,Davidson
85,Oregon St.,P12,18-13,7.89,111.2,49,103.3,151,65.5,281,-0.04,276,3.21,87,105.2,110,102,80,-3.1,259,,2019,Oregon St
86,San Diego,WCC,21-14,7.89,106,139,98.1,69,66.8,210,-0.004,191,3.04,90,105.8,84,102.7,97,0.12,169,,2019,San Diego
87,BYU,WCC,19-13,7.78,111.7,45,103.9,164,70.7,42,0.027,109,3.3,85,106,79,102.7,95,0.25,161,,2019,BYU
88,USC,P12,16-17,7.65,109.2,78,101.6,120,69.4,81,-0.096,340,3.44,81,105.2,111,101.7,67,-2.17,230,,2019,USC
89,Oklahoma St.,B12,12-20,7.6,108.9,85,101.3,118,65.9,262,-0.01,210,12.84,11,110,13,97.2,9,5.74,35,,2019,Oklahoma St
90,Notre Dame,ACC,14-19,7.58,108.2,97,100.6,109,65.1,298,-0.055,304,8.62,49,108,54,99.4,41,-5.33,316,,2019,Notre Dame
91,Georgetown,BE,19-13,7.52,109.2,76,101.7,124,71.9,23,0.054,60,6.1,61,108,53,101.9,77,-4.57,297,,2019,Georgetown
92,Texas A&M;,SEC,14-18,7.49,106.9,120,99.4,88,67.3,188,-0.021,236,9.66,39,109,35,99.3,40,-0.33,178,,2019,Texas A&M;
93,Wichita St.,Amer,19-14,7.49,105.9,142,98.4,77,67.8,152,0.029,105,4.56,71,105.9,83,101.3,62,3.53,83,,2019,Wichita St
94,Hofstra,CAA,27-7,7.47,116.3,17,108.8,259,67.2,189,0.029,106,-5.78,284,102.1,254,107.9,322,-6.16,329,,2019,Hofstra
95,West Virginia,B12,14-20,7.26,109,82,101.8,128,70.2,56,0.016,141,12.15,15,109.3,27,97.2,10,0.57,150,,2019,West Virginia
96,Utah Valley,WAC,24-9,7.17,109,83,101.8,129,68.4,127,0.04,81,-1.48,182,104,161,105.5,209,0.13,168,,2019,Utah Valley
97,Pittsburgh,ACC,14-19,7.09,105.1,154,98,68,66.9,209,-0.094,338,7.83,56,107.9,56,100,54,-8.78,341,,2019,Pittsburgh
98,South Dakota St.,Sum,24-8,7.08,112.1,40,105,188,70.9,36,-0.023,241,-6.34,295,102,267,108.3,334,-4.37,292,,2019,S Dakota St
99,Arizona,P12,17-15,6.86,105,157,98.1,70,66.6,224,-0.013,223,5.42,66,107.5,61,102,82,3.46,86,,2019,Arizona
100,Northern Kentucky,Horz,26-8,6.56,109.2,77,102.7,144,67.9,145,-0.008,203,-4.29,255,103,214,107.2,291,-2.61,242,14,2019,N Kentucky
101,Southern Miss,CUSA,20-12,6.42,106.5,131,100.1,101,64.7,316,-0.014,225,0.32,134,103.4,188,103.1,113,2.35,100,,2019,Southern Miss
102,Georgia Southern,SB,21-12,6.4,108.4,93,102,131,73,13,-0.009,207,1.16,116,105.2,103,104.1,156,4.85,49,,2019,Georgia Southern Univ
103,DePaul,BE,15-15,6.36,110.7,53,104.4,171,69.4,83,-0.039,273,5.5,63,106.8,67,101.3,63,-10.84,350,,2019,DePaul
104,Saint Louis,A10,23-12,6.27,102.6,205,96.3,46,66.1,250,0.045,74,0.36,133,103.9,166,103.6,127,-1.05,199,13,2019,St Louis
105,Grand Canyon,WAC,20-13,6.22,108.1,101,101.8,130,67.6,164,-0.033,263,-0.67,161,103.9,170,104.5,178,0.23,163,,2019,Grand Canyon
106,Bowling Green,MAC,22-12,6.18,108.2,99,102,132,70.3,53,0.035,94,1.52,109,105.2,107,103.7,134,-4.69,302,,2019,Bowling Green
107,Akron,MAC,17-16,6.09,99.8,257,93.7,21,66,253,-0.105,342,1.65,104,105.4,97,103.7,137,-5.28,313,,2019,Akron
108,Connecticut,Amer,16-17,6.02,108.3,96,102.3,135,68.5,119,-0.07,323,3.31,84,105.1,114,101.8,71,-5.3,314,,2019,Connecticut
109,Georgia Tech,ACC,14-18,5.91,101.8,219,95.9,37,66.6,222,-0.023,239,9,45,107.9,55,98.9,33,-4.67,301,,2019,Georgia Tech
110,UCLA,P12,17-16,5.88,108.4,92,102.5,141,72.4,17,0.007,161,5.43,65,107.5,60,102,84,3.74,76,,2019,UCLA
111,Georgia St.,SB,24-9,5.6,107.9,107,102.3,137,69.9,67,0.126,3,0.94,122,104.8,122,103.9,146,4.05,64,14,2019,Georgia St
112,Old Dominion,CUSA,26-8,5.58,101.9,216,96.4,48,64.3,325,0.055,59,-2.37,210,101.9,270,104.2,169,-5.71,323,14,2019,Old Dominion
113,Jacksonville St.,OVC,24-9,5.46,104.9,158,99.4,89,67.5,170,0.003,178,-4.3,256,102,268,106.3,239,0.14,167,,2019,Jacksonville St
114,Utah,P12,17-14,5.39,114.2,22,108.8,261,66.2,240,0.031,100,4.64,70,105.7,85,101.1,61,-0.41,181,,2019,Utah
115,Boston College,ACC,14-17,5.31,107.5,110,102.2,134,67.2,191,0.019,134,7.65,57,107.4,62,99.7,48,-6.53,331,,2019,Boston College
116,Western Kentucky,CUSA,20-14,5.27,104.9,159,99.6,91,67.6,162,0,184,1.6,106,103.9,164,102.3,90,4.94,48,,2019,WKU
117,SMU,Amer,15-17,5.17,112,42,106.8,229,64.9,308,-0.07,322,2.98,91,104.7,127,101.7,68,-5.49,319,,2019,SMU
118,St. Bonaventure,A10,18-16,5.17,102,215,96.8,53,63.8,330,-0.044,286,0.16,140,103.3,191,103.2,117,-0.7,185,,2019,St Bonaventure
119,Stanford,P12,15-16,5.12,103.3,194,98.2,72,69.8,69,-0.027,249,4.32,72,106.5,73,102.2,87,1.31,126,,2019,Stanford
120,Charleston,CAA,24-9,5.06,108.3,94,103.3,152,65.3,289,0.019,132,-3.43,235,104.9,121,108.3,333,0.15,165,,2019,Charleston
121,San Diego St.,MWC,21-13,5.04,103.7,185,98.7,80,66.5,228,0.056,55,1.66,103,105.2,105,103.6,129,-0.9,196,,2019,San Diego St
122,South Florida,Amer,19-13,5.04,102.3,208,97.2,61,67.1,197,-0.048,291,-0.2,151,104,160,104.2,165,-10.2,347,,2019,South Florida
123,Central Michigan,MAC,23-11,4.89,110.3,59,105.4,198,70.8,38,0.024,116,-0.32,155,103.3,192,103.6,130,-9.89,346,,2019,C Michigan
124,Harvard,Ivy,18-11,4.5,104.8,160,100.3,105,67.3,185,0.056,56,1.97,98,104.7,128,102.7,96,3.9,70,,2019,Harvard
125,Radford,BSth,22-11,4.45,108.7,89,104.2,167,64.3,324,-0.007,200,-1.01,172,104.2,152,105.2,198,7.56,15,,2019,Radford
126,Texas St.,SB,24-9,4.37,102,213,97.7,64,65,303,0.034,95,-2.48,212,103.4,187,105.9,220,-5.46,318,,2019,Texas St
127,Wright St.,Horz,21-13,4.33,105.9,140,101.6,121,65,304,-0.031,256,-2.14,207,104.7,130,106.8,265,3.28,88,,2019,Wright St
128,Drake,MVC,24-9,4.32,107,118,102.7,143,69,96,0.094,11,-1.2,177,102.4,239,103.6,128,0.83,143,,2019,Drake
129,Colgate,Pat,24-10,4.29,110,63,105.8,202,66.3,236,0.021,129,-4.21,254,101.8,273,106,224,1.2,130,15,2019,Colgate
130,Penn,Ivy,19-12,4.28,104,179,99.7,95,66.7,216,0.02,131,0.39,132,103.4,190,103,108,0.85,142,,2019,Penn
131,Tulsa,Amer,18-14,4.23,104.6,165,100.4,107,68.7,114,0.04,79,3.05,89,105.4,94,102.4,92,-2.7,246,,2019,Tulsa
132,Georgia,SEC,11-21,4.18,105.8,146,101.6,122,68.3,134,-0.077,331,9.28,42,109,34,99.7,49,-1.59,215,,2019,Georgia
133,Loyola Chicago,MVC,20-13,4.15,104.2,175,100,99,62.3,348,-0.01,208,-1.87,198,102,266,103.8,144,-1.42,209,,2019,Loyola-Chicago
134,Ball St.,MAC,16-17,4.08,102.3,207,98.2,74,70.1,58,-0.088,335,2.11,95,105,116,102.9,103,-0.34,179,,2019,Ball St
135,Austin Peay,OVC,22-11,3.9,110.6,55,106.7,226,68.9,105,-0.009,205,-3.69,247,103,206,106.7,257,1.32,125,,2019,Austin Peay
136,Northern Illinois,MAC,17-17,3.87,108.8,88,104.9,187,65.8,267,-0.071,324,1.88,99,104.6,132,102.7,99,-2.22,232,,2019,Northern Illinois
137,Montana,BSky,26-8,3.55,107.4,115,103.8,161,66.5,225,0.057,49,-6.59,299,102,265,108.6,342,4.46,56,15,2019,Montana
138,Loyola Marymount,WCC,20-11,3.42,103.6,187,100.2,103,62.7,345,0.066,35,0.15,141,104.4,142,104.2,167,-5.07,309,,2019,Loyola Marymount
139,Boise St.,MWC,13-20,3.22,107.1,117,103.8,162,65.4,284,-0.192,353,0.49,130,103.9,163,103.5,123,0.48,154,,2019,Boise St
140,Louisiana Monroe,SB,18-15,3.11,112.3,39,109.2,267,66.3,239,-0.054,299,-1.89,202,103.1,200,105,194,-3.88,278,,2019,Louisiana Monroe
141,Louisiana Tech,CUSA,20-13,2.95,104.7,163,101.7,125,65.3,288,-0.046,289,-1.84,196,102,263,103.9,148,-3.9,279,,2019,Louisiana Tech
142,Kent St.,MAC,22-10,2.83,109.6,70,106.7,227,67.3,187,0.14,2,1.36,113,104.3,148,102.9,105,-4.29,291,,2019,Kent
143,Rhode Island,A10,18-15,2.68,103.8,183,101.1,113,67.4,179,0.018,138,1,120,103,210,102,81,-1.79,222,,2019,Rhode Island
144,Samford,SC,17-16,2.21,106.6,128,104.3,170,69,97,-0.076,330,-1.66,191,104.5,136,106.2,235,-6.11,328,,2019,Samford
145,Abilene Christian,Slnd,27-6,2.09,103.6,186,101.5,119,66,254,0.087,17,-9.04,343,99.6,327,108.6,343,-4.51,295,15,2019,Abilene Chr
146,Brown,Ivy,19-11,1.9,98.7,276,96.8,54,70.8,40,0.011,150,-2.52,213,102.2,249,104.7,185,-5.31,315,,2019,Brown
147,Bucknell,Pat,21-12,1.88,105.5,150,103.6,155,70.5,47,0.052,64,-2.81,221,103.2,196,106,227,3.15,89,,2019,Bucknell
148,UAB,CUSA,20-14,1.84,106.4,136,104.5,173,64.9,307,-0.011,212,-1.86,197,101.6,276,103.5,125,-4.99,306,,2019,UAB
149,Miami OH,MAC,15-17,1.78,104.7,164,102.9,147,66.2,244,-0.025,244,3.58,79,105.5,92,102,79,-0.19,175,,2019,Miami OH
150,Southern Illinois,MVC,17-15,1.7,104.2,174,102.5,140,65.6,273,-0.01,209,-0.92,165,102.9,220,103.8,138,0.6,149,,2019,S Illinois
151,UTSA,CUSA,17-15,1.66,105.7,147,104,165,72,20,-0.017,229,0.86,124,103,211,102.1,86,4.26,59,,2019,UT San Antonio
152,UT Arlington,SB,17-16,1.54,101.1,237,99.6,92,66.1,249,0.038,86,1.54,108,104.9,119,103.4,122,5.75,34,,2019,UT Arlington
153,Pepperdine,WCC,16-18,1.41,106.6,124,105.2,196,70.2,57,-0.057,307,0.09,143,104.1,156,104,153,-6.74,333,,2019,Pepperdine
154,Vanderbilt,SEC,9-23,0.79,102,214,101.2,114,67.1,195,-0.109,344,9.66,38,109.1,31,99.4,42,-2.87,251,,2019,Vanderbilt
155,Eastern Michigan,MAC,15-17,0.75,103.3,191,102.6,142,62.7,344,-0.006,196,5.5,64,107.1,63,101.6,64,8.68,6,,2019,Eastern Michigan
156,George Mason,A10,18-15,0.69,104.4,168,103.7,159,67.6,163,0.023,122,-1.19,176,102.1,258,103.3,118,-3.24,261,,2019,George Mason
157,North Texas,CUSA,21-12,0.51,99.5,263,99,82,65.1,294,-0.007,201,-3.67,246,101,301,104.6,183,-9.27,343,,2019,North Texas
