rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
209,Prairie View A&M;,SWAC,22-12,-4.31,101.5,226,105.8,205,71,34,0.074,29,-8.25,338,98.1,345,106.3,240,6.54,26,16,2019,Prairie View;
210,Washington St.,P12,11-21,-4.31,105.9,143,110.2,291,70.5,49,-0.059,310,1.43,110,104.9,117,103.5,126,-10.25,348,,2019,Washington St
211,Columbia,Ivy,10-18,-4.48,101.8,223,106.3,215,67.4,177,-0.06,311,-0.92,166,103,213,103.9,149,-3.36,265,,2019,Columbia
212,South Alabama,SB,17-17,-4.49,103,196,107.5,239,66.2,242,0.012,148,-3.36,232,102.6,228,106,225,-7.9,340,,2019,South Alabama
213,Pacific,WCC,14-18,-4.49,99.8,258,104.2,168,64.9,306,0.045,73,1.75,101,105.9,82,104.1,161,-3.37,266,,2019,Pacific
214,Texas Southern,SWAC,21-13,-4.5,104,178,108.5,255,74.5,4,0.056,52,-8.23,337,98.2,344,106.4,244,12.36,2,,2019,TX Southern
215,Rider,MAAC,16-15,-4.51,101.3,236,105.8,203,73.8,8,-0.032,261,-6.87,307,100.3,314,107.2,290,-0.07,171,,2019,Rider
216,Lamar,Slnd,20-13,-4.57,103.1,195,107.6,243,68.1,139,0.009,155,-7.31,320,100.5,311,107.8,317,1.97,110,,2019,Lamar
217,Cornell,Ivy,15-15,-4.63,99,272,103.7,157,67.5,165,0.084,20,-0.01,146,103.9,165,103.9,150,-1.17,204,,2019,Cornell
218,Dartmouth,Ivy,11-19,-4.64,103.4,190,108,249,65.7,271,-0.109,346,-1.69,192,102.4,234,104.1,159,-5.1,310,,2019,Dartmouth
219,William & Mary,CAA,14-17,-4.65,103.3,192,108,247,68.5,118,0.029,107,-1.88,200,105.7,86,107.6,311,3.11,92,,2019,William & Mary
220,Florida Gulf Coast,ASun,14-18,-4.67,101.3,233,106,210,67.8,147,-0.003,190,-0.8,164,103.2,195,104,154,4.1,62,,2019,FL Gulf Coast
221,Valparaiso,MVC,15-18,-4.91,97.9,288,102.8,146,65.1,297,0.003,176,-1.74,193,101.9,269,103.7,135,-3.28,262,,2019,Valparaiso
222,Little Rock,SB,10-21,-4.94,99.7,260,104.7,182,70.3,54,-0.149,352,-1.62,189,104.2,154,105.8,214,-2.32,234,,2019,Little Rock
223,Long Beach St.,BW,15-19,-4.99,101,241,106,211,71.4,30,0.051,65,-0.41,158,104.1,155,104.6,180,5.84,30,,2019,Long Beach St
224,Weber St.,BSky,18-15,-5.06,101.3,234,106.4,219,71,33,-0.022,237,-6.9,309,101.8,272,108.7,345,0.88,140,,2019,Weber St
225,La Salle,A10,10-21,-5.16,99.8,256,105,189,68.8,108,-0.04,277,0.28,135,103.6,177,103.3,120,0.89,138,,2019,La Salle
226,Cal St. Bakersfield,WAC,16-15,-5.16,102.5,206,107.6,242,65.3,286,0.055,57,-1.58,188,103.7,173,105.3,200,-2.46,239,,2019,CS Bakersfield
227,Evansville,MVC,11-21,-5.37,99.3,265,104.7,181,69.3,85,-0.061,313,-0.13,148,102.9,216,103.1,112,1.79,114,,2019,Evansville
228,High Point,BSth,16-15,-5.52,99.1,271,104.6,179,63.5,334,0.019,133,-4.05,252,103.4,189,107.4,301,-2.39,237,,2019,High Point
229,South Dakota,Sum,13-17,-5.7,100.3,253,106,212,66.8,213,-0.048,292,-3.65,244,103.8,171,107.4,302,-0.24,176,,2019,South Dakota
230,UMBC,AE,21-13,-5.75,95.9,313,101.7,123,64.8,309,0.078,26,-6.83,305,100.1,319,106.9,271,-4.2,288,,2019,UMBC
231,Southeastern Louisiana,Slnd,17-16,-5.9,99.2,268,105.1,193,65.1,295,0.009,154,-6.78,303,100.5,312,107.3,292,2.13,107,,2019,SE Louisiana
232,Boston University,Pat,15-18,-5.93,104.1,176,110.1,287,66.1,248,-0.025,243,-4.51,264,102.4,240,106.9,267,-4.01,285,,2019,Boston Univ
233,Quinnipiac,MAAC,16-14,-5.98,104.4,171,110.3,294,66.7,219,-0.024,242,-9.42,344,98.7,338,108.1,328,-7.62,337,,2019,Quinnipiac
234,UMKC,WAC,11-21,-6.14,100.9,244,107,233,66.2,243,-0.052,298,0.42,131,105.2,106,104.8,188,1.5,121,,2019,UMKC
235,Massachusetts,A10,11-21,-6.16,102.8,204,108.9,263,67.2,193,-0.061,312,-1.48,181,102.7,226,104.1,162,-4.64,300,,2019,Massachusetts
236,Detroit,Horz,11-20,-6.46,106.1,138,112.5,322,68.4,122,-0.011,215,0.2,138,104.9,118,104.7,186,5.84,31,,2019,Detroit
